id,generated_id,voted_for,category,voted_id
6738,kwjwoztf1l,HAIKUFUMA,Best Series,
6739,eja53jdgv2,GODLIVER GODIAN - JUA KALI,Best Actress,
6740,jnly3xf3e7,KIMBEMBE,Best Comedian,
6741,qxsnqtv9m9,GODLIVER GODIAN - JUA KALI,Best Actress,
6742,4idc6xtww6,HILLARY DAUDI MTUTA (BEKA A.K.A ZEMBWELA) - HAIKUFUMA,Best Actor Audience Choice,
6743,f5ew7b64sf,AHADI,Best Series,
6744,0sy09v3hou,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6745,dki8726j66,JUA KALI,Best Series,
6746,vz64n5ft6i,KITIMTIM,Best Comedy,
6747,9uiy316tx7,JAMBO NA VIJIMAMBO,Best Comedy,
6748,kahq4jzd2o,GODLIVER GODIAN - JUA KALI,Best Actress,
6749,8ndkxql9bp,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
6750,zs4chibec1,AHADI,Best Series,
6751,mmtqkjqzeg,ISARITO MWAKALINDILE (JISHU) – BANTU,Best Actor Audience Choice,
6752,ajk1eafz0d,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6753,l3xspyfayh,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
6754,zckyhm4h2a,OBAMBO,Best Feature Film,
6755,kwjwoztf1l,JOTI,Best Comedian,
6756,k1gspspomv,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6757,eja53jdgv2,GLADNESS KIFALUKA,Best Comedian,
6758,qq3crw1q9d,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
6759,kt86ks59hk,JUA KALI,Best Series,
6760,2tyqdrcr5y,KITIMTIM,Best Series Comedy(online ,
6761,7ot2l5klp6,KITIMTIM,Best Comedy,
6762,vl6zhy1f17,JUA KALI,Best Series,
6763,1r3lqkqlmt,GODLIVER GODIAN - JUA KALI,Best Actress,
6764,d4lwlbeuce,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
6765,3l42xo66tz,CATHERINE CREDO - SALAMA,Best Upcoming Actress,
6766,cx0n6088l6,AHADI,Best Series,
6767,vz64n5ft6i,KITIMTIM,Best Series Comedy(online ,
6768,7nkiqatu02,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
6769,dvf1ulhdht,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6770,6t4fs7iesh,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
6771,2q84meq3fn,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
6772,u4u5aqvsz8,SALUNI YA MAMA KIMBO,Best Comedy,
6773,8ndkxql9bp,AHADI,Best Series,
6774,7gfxfh6gig,AHADI,Best Series,
6775,2tyqdrcr5y,ISARITO MWAKALINDILE (JISHU) – BANTU,Best Actor Audience Choice,
6776,2tzxq42xex,SALUNI YA MAMA KIMBO,Best Comedy,
6777,laovou787b,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
6778,ikrww5ps2m,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6779,zckyhm4h2a,KITIMTIM,Best Comedy,
6780,qxsnqtv9m9,JUA KALI,Best Series,
6781,8ndkxql9bp,OBAMBO,Best Feature Film,
6782,qbp0ny5bnh,GODLIVER GODIAN - JUA KALI,Best Actress,
6783,mmtqkjqzeg,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
6784,6t4fs7iesh,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
6785,y7rwy8kemf,JANGA,Best Feature Film,
6786,dki8726j66,GLADNESS KIFALUKA,Best Comedian,
6787,j82l3irib,JUA KALI,Best Series,
6788,9v8okdcexz,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
6789,3l42xo66tz,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
